0.000000000000000000e+00,8.695458163117406603e-01,2.921188806788738851e-02,4.428442788536821051e-02,0.000000000000000000e+00,3.217778949414262096e-02,2.478007824086108160e-02
5.000000000000000000e+00,6.359699448533489008e-01,2.263826092407057178e-01,5.942666940856068669e-02,3.870531794080187687e-02,3.951545855658287337e-02,0.000000000000000000e+00
1.000000000000000000e+01,4.670781640052875661e-01,3.275777512837238503e-01,8.673846419580237554e-02,1.002095959432975497e-01,1.629860020375004104e-02,2.097424368138714901e-03
1.500000000000000000e+01,2.837912495662126000e-01,3.463313501517018000e-01,1.083777505965866084e-01,1.985633614513323819e-01,4.250152452822505977e-02,2.043476370594154296e-02
2.000000000000000000e+01,1.596261971756833820e-01,2.885735420816745722e-01,1.619028038657078228e-01,2.155796741001383132e-01,1.181989539544323620e-01,5.611882882236361031e-02
2.500000000000000000e+01,1.430318583656281506e-01,2.345988301827701128e-01,1.753652303399222123e-01,2.654747980383580508e-01,1.460549373734251755e-01,3.547434569989613151e-02
3.000000000000000000e+01,1.143236204560043046e-01,1.721100079416015283e-01,1.767751268910155160e-01,2.307823293620728244e-01,2.004796121598804437e-01,1.055293031894253691e-01
3.500000000000000000e+01,7.536637594134859564e-02,1.797713062348820223e-01,1.863866179186205174e-01,2.587190830074538872e-01,2.315190032373892759e-01,6.823761366030584030e-02
4.000000000000000000e+01,6.624275487403499807e-02,1.355268917391422023e-01,2.066905984777614447e-01,2.403819972948144645e-01,2.405027532056120132e-01,1.106550044086347939e-01
4.500000000000000000e+01,0.000000000000000000e+00,9.093987301179488891e-02,2.112746547118611318e-01,2.077660800324577228e-01,2.892670506527530438e-01,2.007523415911332543e-01
5.000000000000000000e+01,5.151444783921644427e-03,4.518633749410017053e-02,2.111666743349843167e-01,2.120450426657131127e-01,2.864327716497909182e-01,2.400177290714897715e-01
5.500000000000000000e+01,0.000000000000000000e+00,6.434751865840773744e-02,1.843612691891461097e-01,1.170192573567867822e-01,3.335257833800696625e-01,3.007461714155896249e-01
6.000000000000000000e+01,3.735564328427338522e-03,5.663118184470942312e-02,1.942335948196145246e-01,1.457030266974517763e-01,3.201480697658051211e-01,2.795485625439917965e-01
6.500000000000000000e+01,0.000000000000000000e+00,4.271970092831888638e-02,1.730263891829985634e-01,7.586021229160291868e-02,3.313034755611297677e-01,3.770902220359498846e-01
7.000000000000000000e+01,1.236400699469723113e-02,4.995990261411685507e-02,1.482901159920766432e-01,1.089361636393735983e-01,3.040612302335763961e-01,3.763885805261593664e-01
7.500000000000000000e+01,1.035975308635542907e-02,1.227948178177276509e-03,1.658078312796726350e-01,7.393967648925671432e-02,2.597119653880466394e-01,4.889528255784913457e-01
8.000000000000000000e+01,0.000000000000000000e+00,4.837652680052826476e-02,1.734547486945125505e-01,6.349645026442063411e-02,2.517176579278564974e-01,4.629546163126820324e-01
